,, Week,2026-02-23,2026-02-23,2026-02-23,2026-02-23,2026-03-02,2026-03-02,2026-03-02,2026-03-02
2121,MYASTORIYA,Mid-market (AM Segment),23.9%,135,5.9%,€30.32,23.8%,129,4.0%,€30.46
2122,MARIO KOCHERHY,Mid-market (AM Segment),23.9%,37,0.0%,€12.21,23.0%,27,0.0%,€13.00
2123,HIROS ROL,SMB (AM Segment),23.8%,18,100.0%,€11.17,23.6%,10,100.0%,€10.53
2124,STARGOOSE DONER,SMB (AM Segment),23.8%,25,100.0%,€14.40,23.2%,35,100.0%,€14.12
2125,CINNABON,Mid-market (AM Segment),23.8%,214,0.0%,€11.91,22.3%,271,0.0%,€13.87
2126,GREEN REST,SMB (AM Segment),23.8%,2,0.0%,€14.99,,,,
2127,MUNCHEN,SMB (AM Segment),23.8%,9,0.0%,€23.05,24.9%,9,0.0%,€20.00
2128,STARPIZZACAFE,SMB (AM Segment),23.8%,1,0.0%,€16.05,24.6%,5,0.0%,€17.10
2129,FARSH,Mid-market (AM Segment),23.8%,85,0.0%,€18.48,23.8%,221,0.0%,€19.53
2130,EATS UA BURGERS PIZZA,SMB (AM Segment),23.8%,1,0.0%,€22.66,,,,
2131,TURBO PIZZA,SMB (AM Segment),23.8%,3,0.0%,€10.57,25.0%,1,0.0%,€5.78
2132,TOJ SAMYJ BURHER,Mid-market (AM Segment),23.8%,724,58.0%,€16.16,21.7%,736,56.7%,€16.85
2133,LIVE. LOVE. AVOCADO,SMB (AM Segment),23.8%,20,0.0%,€15.67,23.8%,23,0.0%,€19.23
2134,CENTRALNA SHAURMA,SMB (AM Segment),23.7%,11,0.0%,€9.61,22.7%,11,0.0%,€10.63
2135,FABBRICA,SMB (AM Segment),23.7%,43,0.0%,€17.99,23.0%,53,0.0%,€19.73
2136,VELYKA TRIYKA,SMB (AM Segment),23.7%,14,0.0%,€13.01,23.6%,11,0.0%,€15.46
2137,SHAURMANAVYHILLI,SMB (AM Segment),23.7%,8,0.0%,€13.44,24.6%,11,0.0%,€10.93
2138,MYATA,SMB (AM Segment),23.7%,5,0.0%,€13.86,23.4%,8,0.0%,€17.09
2139,KHVYLIA,Mid-market (AM Segment),23.7%,2,0.0%,€31.22,24.0%,3,0.0%,€27.75
2140,SOYA,Mid-market (AM Segment),23.7%,101,77.9%,€14.41,23.0%,137,93.2%,€17.34
2141,ANGRY RAMEN,SMB (AM Segment),23.6%,2,100.0%,€27.87,23.2%,6,100.0%,€22.08
2142,NORVEN MAKSYMOVYCHA,SMB (AM Segment),23.6%,17,0.0%,€27.07,21.4%,17,0.0%,€33.48
2143,MA PIZZA,Mid-market (AM Segment),23.6%,60,34.6%,€16.81,22.7%,66,29.5%,€13.41
2144,SUSHIHO,Mid-market (AM Segment),23.5%,31,0.0%,€31.85,23.5%,31,0.0%,€31.38
2145,BAHATOLOSOSYA,Mid-market (AM Segment),23.5%,106,0.0%,€35.23,23.5%,222,0.0%,€36.42
2146,PAB BUCHAREST,SMB (AM Segment),23.5%,18,0.0%,€17.40,23.7%,7,0.0%,€20.59
2147,SHAURMA NA RAYONI VN,Mid-market (AM Segment),23.5%,153,100.0%,€12.95,23.3%,147,100.0%,€12.44
2148,KUMA SHAURMA,Mid-market (AM Segment),23.4%,146,0.0%,€11.28,23.7%,132,0.0%,€11.71
2149,LA VERANDA,SMB (AM Segment),23.4%,2,0.0%,€17.03,22.0%,1,0.0%,€41.14
2150,LAPSHA TA RISE,Mid-market (AM Segment),23.4%,2,0.0%,€26.09,28.0%,2,0.0%,€22.42
2151,VINNIBEER,SMB (AM Segment),23.4%,1,0.0%,€26.04,,,,
2152,MAFIA,Mid-market (AM Segment),23.4%,34,0.0%,€24.98,24.9%,76,0.0%,€25.11
2153,PANSKA HURALNA,SMB (AM Segment),23.4%,8,0.0%,€14.93,,,,
2154,BRUGGE,SMB (AM Segment),23.4%,15,0.0%,€21.63,20.3%,14,0.0%,€20.09
2155,FRYWAY,Mid-market (AM Segment),23.3%,9,100.0%,€13.58,21.2%,1,100.0%,€16.66
2156,PINZZA BY MYASTORIYA,Mid-market (AM Segment),23.3%,6,0.0%,€21.73,25.0%,4,0.0%,€10.16
2157,MADAM BISTRO,SMB (AM Segment),23.2%,7,0.0%,€23.64,21.6%,5,0.0%,€19.76
2158,AKADEMIA SHAURMY,SMB (AM Segment),23.2%,5,0.0%,€13.14,22.4%,2,0.0%,€12.00
2159,LKF,SMB (AM Segment),23.2%,15,0.0%,€13.41,23.2%,31,0.0%,€19.63
2160,FOOD LIFE KR,SMB (AM Segment),23.1%,5,100.0%,€11.52,28.5%,4,100.0%,€12.61
2161,MEDIVNYA 1979,SMB (AM Segment),23.1%,13,0.0%,€13.93,27.0%,10,0.0%,€19.72
2162,CASTA,Mid-market (AM Segment),23.1%,1,0.0%,€19.68,25.0%,4,0.0%,€24.02
2163,SVIJIY ROZLUV,Mid-market (AM Segment),23.1%,6,0.0%,€15.66,23.2%,10,0.0%,€9.29
2164,POMIDORO'S PIZZA BILA TSERKVA,SMB (AM Segment),23.0%,4,0.0%,€26.19,25.0%,1,0.0%,€57.50
2165,KRAST,SMB (AM Segment),23.0%,15,0.0%,€10.73,22.6%,18,0.0%,€10.51
2166,HAPPY GRILL&PIZZA KR,SMB (AM Segment),23.0%,2,0.0%,€12.09,25.0%,5,0.0%,€19.44
2167,JACK ROLL,SMB (AM Segment),23.0%,1,0.0%,€16.87,23.0%,5,0.0%,€24.27
2168,KRYMSKA KUHNYA,Mid-market (AM Segment),23.0%,9,0.0%,€14.74,23.0%,17,0.0%,€24.01
2169,KUM BEER,SMB (AM Segment),23.0%,7,0.0%,€10.77,23.0%,8,0.0%,€13.00
2170,UNA PINSA,Mid-market (AM Segment),23.0%,5,0.0%,€15.17,23.0%,11,0.0%,€10.71
2171,NOA GUEST EMILY,Mid-market (AM Segment),23.0%,65,0.0%,€18.99,23.0%,73,0.0%,€21.98
2172,TEATR IF,SMB (AM Segment),23.0%,17,0.0%,€14.61,23.0%,13,0.0%,€17.11
2173,BIBLIOTEKA IF,SMB (AM Segment),23.0%,17,0.0%,€13.10,23.0%,16,0.0%,€12.96
2174,ROCKIT KR,SMB (AM Segment),23.0%,1,0.0%,€10.70,23.0%,5,0.0%,€11.60
2175,TYKHYI OMUT,SMB (AM Segment),23.0%,9,0.0%,€19.31,23.0%,5,0.0%,€17.60
2176,UZBETSKYI PLOV 16 LYPNIA,SMB (AM Segment),23.0%,1,0.0%,€5.73,,,,
2177,BOOGIE PIZZA&SUSHI,SMB (AM Segment),23.0%,13,0.0%,€13.62,23.0%,34,0.0%,€15.50
2178,BOWLING 24,SMB (AM Segment),23.0%,17,0.0%,€15.43,23.0%,12,0.0%,€17.81
2179,JAM CAFE LVIV,SMB (AM Segment),23.0%,1,0.0%,€17.97,,,,
2180,SHASHLIKYAN LUTSK,SMB (AM Segment),23.0%,2,0.0%,€11.42,,,,
2181,URBAN SPACE 100,SMB (AM Segment),23.0%,36,0.0%,€12.07,23.0%,22,0.0%,€13.95
2182,DONER UNIVER,SMB (AM Segment),23.0%,4,0.0%,€9.94,20.2%,10,0.0%,€8.56
2183,SHASHLIKYAN,SMB (AM Segment),23.0%,2,0.0%,€13.39,23.0%,3,0.0%,€16.92
2184,LA CUCINA VIN,Mid-market (AM Segment),23.0%,19,0.0%,€19.15,23.0%,20,0.0%,€17.56
2185,POKE LULU,Mid-market (AM Segment),23.0%,110,0.0%,€14.41,23.0%,111,0.0%,€13.88
2186,DOBRA PIZZA LUTSK,SMB (AM Segment),23.0%,1,0.0%,€16.29,23.1%,4,0.0%,€14.43
2187,GRILL PARK,Mid-market (AM Segment),23.0%,39,0.0%,€18.03,23.0%,38,0.0%,€18.28
2188,NOA ASIA SPECIAL,Mid-market (AM Segment),23.0%,255,0.0%,€20.26,23.0%,273,0.0%,€19.74
2189,KORCHMA,SMB (AM Segment),23.0%,9,0.0%,€17.35,23.0%,15,0.0%,€19.80
2190,VAM DONER?,Mid-market (AM Segment),23.0%,130,0.0%,€9.97,23.0%,175,0.0%,€11.04
2191,TOMATINA,Mid-market (AM Segment),23.0%,146,0.0%,€15.78,23.0%,132,0.0%,€14.46
2192,ONLY PIZZA,Mid-market (AM Segment),23.0%,10,0.0%,€12.72,22.5%,12,0.0%,€16.30
2193,UZBETSKYI PLOV,SMB (AM Segment),23.0%,12,0.0%,€9.39,23.0%,12,0.0%,€11.54
2194,EMILY BROOKLYN PIZZA,Mid-market (AM Segment),23.0%,54,0.0%,€20.07,23.0%,43,0.0%,€18.96
2195,RAKIEST,SMB (AM Segment),23.0%,3,0.0%,€41.93,23.0%,2,0.0%,€50.47
2196,IKURA KHM,SMB (AM Segment),23.0%,7,0.0%,€21.98,27.0%,7,0.0%,€19.49
2197,NOODLE DOODLE,SMB (AM Segment),23.0%,15,0.0%,€16.33,23.0%,16,0.0%,€18.66
2198,ZARA PIZZARA,SMB (AM Segment),23.0%,5,0.0%,€10.52,23.0%,9,0.0%,€13.58
2199,SUSHIBOSS,Mid-market (AM Segment),23.0%,8,0.0%,€12.71,23.0%,19,0.0%,€16.60
2200,TOMATINA LVIV,Mid-market (AM Segment),23.0%,20,0.0%,€14.51,23.0%,18,0.0%,€11.25
2201,BAGETERIA_,SMB (AM Segment),23.0%,1,0.0%,€12.75,23.0%,1,0.0%,€9.12
2202,HESBURGER,Enterprise (AM Segment),23.0%,181,100.0%,€12.51,21.7%,278,100.0%,€13.58
2203,BAO,SMB (AM Segment),23.0%,9,0.0%,€31.28,22.5%,9,0.0%,€36.35
2204,SAYVO,SMB (AM Segment),23.0%,1,0.0%,€24.20,,,,
2205,SMACHNYI SHASHLYCHOK,SMB (AM Segment),22.9%,1,100.0%,€45.29,,,,
2206,MIAO,Mid-market (AM Segment),22.9%,19,0.0%,€13.87,23.0%,14,0.0%,€15.78
2207,BAO CASUAL,SMB (AM Segment),22.9%,8,0.0%,€23.43,22.6%,11,0.0%,€30.11
2208,AMERICAN BAR&GRILL,Mid-market (AM Segment),22.9%,2,0.0%,€9.49,25.0%,2,0.0%,€13.31
2209,KHINKAL,Enterprise (AM Segment),22.9%,6,0.0%,€19.59,21.4%,6,0.0%,€26.68
2210,FUNCHOZA,SMB (AM Segment),22.9%,32,0.0%,€19.53,23.8%,40,0.0%,€20.67
2211,DUCK PLEASE,SMB (AM Segment),22.8%,144,0.0%,€25.95,22.3%,168,0.0%,€26.08
2212,CONTRABANDA,Mid-market (AM Segment),22.8%,134,0.0%,€22.22,22.7%,132,0.0%,€23.29
2213,GREEN ROOM LOUNGE BAR,SMB (AM Segment),22.8%,9,0.0%,€19.05,25.0%,5,0.0%,€11.51
2214,SHPIEGEL,SMB (AM Segment),22.8%,9,0.0%,€17.53,22.8%,12,0.0%,€16.88
2215,BON CHICKEN,Mid-market (AM Segment),22.8%,74,0.0%,€11.22,22.7%,78,0.0%,€11.59
2216,RIBSBEER,SMB (AM Segment),22.8%,11,0.0%,€24.10,,,,
2217,DONER,SMB (AM Segment),22.8%,14,0.0%,€8.37,18.8%,14,0.0%,€12.29
2218,CHACHA,Mid-market (AM Segment),22.7%,130,100.0%,€20.41,22.8%,170,100.0%,€24.64
2219,CHEF HOUSE,SMB (AM Segment),22.7%,3,100.0%,€13.43,30.7%,1,100.0%,€11.94
2220,AKCIYA BURGER,Mid-market (AM Segment),22.7%,13,0.0%,€16.39,22.7%,20,0.0%,€15.17
2221,THIS IS PIVBAR,Mid-market (AM Segment),22.7%,36,0.0%,€33.39,24.0%,21,0.0%,€31.26
2222,LUCIANO PIZZA BY#ARIZONA,Mid-market (AM Segment),22.6%,15,0.0%,€12.41,23.0%,13,0.0%,€15.62
2223,CHICHERI,SMB (AM Segment),22.6%,22,0.0%,€20.19,22.0%,24,0.0%,€20.57
2224,TIKITHAI,Mid-market (AM Segment),22.6%,145,0.0%,€18.58,22.6%,164,0.0%,€19.95
2225,SALMON SUSHI BANDERU,Mid-market (AM Segment),22.6%,4,0.0%,€27.06,23.4%,13,0.0%,€26.15
2226,CHILMIL,Mid-market (AM Segment),22.6%,608,0.0%,€17.69,22.5%,561,0.0%,€18.44
2227,RANNYA PTASHKA,Mid-market (AM Segment),22.6%,56,0.0%,€15.45,22.5%,67,0.0%,€16.83
2228,HOYRA,SMB (AM Segment),22.6%,22,0.0%,€22.31,22.5%,21,0.0%,€20.35
2229,BARANCHIK,Mid-market (AM Segment),22.5%,95,29.5%,€20.27,22.3%,89,41.0%,€23.99
2230,MITBAR MYASTORIYA,Mid-market (AM Segment),22.5%,16,0.0%,€16.44,22.4%,18,0.0%,€14.08
2231,NASTYA BALUVANA,SMB (AM Segment),22.5%,7,0.0%,€23.11,22.3%,5,0.0%,€23.25
2232,FOODLIFE SUSHI,SMB (AM Segment),22.5%,2,100.0%,€16.59,25.0%,1,100.0%,€7.63
2233,CHEESE COMBO ONLY,SMB (AM Segment),22.5%,1,100.0%,€48.00,,,,
2234,CHERVONYI DRAKON,SMB (AM Segment),22.5%,1,0.0%,€33.49,,,,
2235,HRUZYNSKYI,SMB (AM Segment),22.5%,57,0.0%,€25.77,22.5%,52,0.0%,€24.57
2236,KEBABCHYK,Mid-market (AM Segment),22.5%,242,65.6%,€13.54,22.7%,182,74.4%,€14.77
2237,EMBER,SMB (AM Segment),22.5%,3,0.0%,€16.15,22.4%,8,0.0%,€18.17
2238,ZAKRYTULY NAKORMYLU,Mid-market (AM Segment),22.4%,26,0.0%,€13.57,22.5%,15,0.0%,€12.96
2239,ACE BURGER,Mid-market (AM Segment),22.4%,7,0.0%,€12.05,22.4%,7,0.0%,€16.08
2240,SUSHI TOKIO,Mid-market (AM Segment),22.4%,1,0.0%,€23.02,28.0%,4,0.0%,€22.68
2241,SAMA SUSHI,Mid-market (AM Segment),22.4%,1,0.0%,€17.45,28.0%,3,0.0%,€11.99
2242,SAMURAI ARIZONA,Mid-market (AM Segment),22.4%,28,0.0%,€17.69,23.9%,41,0.0%,€20.82
2243,PIZZA CONCEPT,SMB (AM Segment),22.4%,2,100.0%,€14.78,28.0%,3,100.0%,€21.27
2244,FELLINI PIZZA,Mid-market (AM Segment),22.4%,13,0.0%,€12.88,23.8%,5,0.0%,€10.80
2245,GANGSTER DOG,Mid-market (AM Segment),22.4%,6,0.0%,€12.31,28.0%,6,0.0%,€13.31
2246,GAMBURGERNA NUNU,Mid-market (AM Segment),22.4%,68,0.0%,€22.30,23.4%,44,0.0%,€24.45
2247,BOCHKA BAR,SMB (AM Segment),22.4%,10,0.0%,€24.23,21.4%,5,0.0%,€29.58
2248,YOY,Mid-market (AM Segment),22.4%,108,0.0%,€14.83,22.3%,102,100.0%,€14.04
2249,NUNU,Mid-market (AM Segment),22.4%,164,0.0%,€18.22,22.9%,121,0.0%,€16.90
2250,SIMEYNA PITSA PEKARNYA,Mid-market (AM Segment),22.3%,46,0.0%,€12.81,22.8%,35,0.0%,€12.68
2251,ASSA,SMB (AM Segment),22.3%,21,0.0%,€17.40,21.8%,8,0.0%,€22.96
2252,REBERNYA LVIV,Mid-market (AM Segment),22.3%,130,40.3%,€23.20,22.7%,126,88.1%,€22.26
2253,GEORGIA,Mid-market (AM Segment),22.2%,2,0.0%,€21.00,23.6%,4,0.0%,€21.13
2254,BENDERIKI,Enterprise (AM Segment),22.1%,21,0.0%,€12.65,21.7%,3,0.0%,€14.46
2255,BIG BRO BURGERS,SMB (AM Segment),22.1%,5,0.0%,€15.27,25.0%,2,0.0%,€8.67
2256,PHILADELPHIA ROLL & BOWL,Mid-market (AM Segment),22.1%,23,0.0%,€37.06,22.1%,33,0.0%,€30.24
2257,DONER HEROIV,SMB (AM Segment),22.1%,8,0.0%,€11.09,18.8%,13,0.0%,€9.25
2258,DONATELLO PIZZA DELIVERY,Mid-market (AM Segment),22.1%,18,0.0%,€11.54,22.0%,12,0.0%,€12.85
2259,OSHCHADCAFE,Enterprise (AM Segment),22.0%,306,100.0%,€14.53,22.3%,236,100.0%,€14.56
2260,AROMA KAVA,SMB (AM Segment),22.0%,1,0.0%,€7.92,22.0%,2,0.0%,€9.62
2261,"KULTOVYI ZAKLAD ""KRYIVKA""",Mid-market (AM Segment),22.0%,2,0.0%,€14.29,,,,
2262,FERMA BRATA,SMB (AM Segment),22.0%,1,0.0%,€4.41,22.0%,1,0.0%,€12.60
2263,REBERNYA IF,SMB (AM Segment),22.0%,70,0.0%,€19.99,22.0%,89,0.0%,€21.42
2264,UVAHA TSEZAR,Mid-market (AM Segment),22.0%,7,0.0%,€12.50,22.0%,8,0.0%,€16.24
2265,SMAKI MAKI,Mid-market (AM Segment),22.0%,31,0.0%,€21.10,22.0%,31,0.0%,€20.31
2266,REBERNYA KYIV,Mid-market (AM Segment),22.0%,85,0.0%,€23.24,22.0%,61,0.0%,€22.60
2267,TERASA,SMB (AM Segment),22.0%,15,0.0%,€15.02,22.0%,5,0.0%,€10.77
2268,VSE DLA SUSHI,SMB (AM Segment),22.0%,9,0.0%,€14.55,22.0%,20,0.0%,€21.19
2269,DIM 18,SMB (AM Segment),22.0%,1,100.0%,€18.72,22.0%,2,100.0%,€25.68
2270,YOSHI FUJIWARA,SMB (AM Segment),22.0%,10,0.0%,€41.58,22.0%,5,0.0%,€36.39
2271,BEERCRAFT,SMB (AM Segment),22.0%,1,0.0%,€5.94,,,,
2272,NORI MIORI,Mid-market (AM Segment),22.0%,15,0.0%,€11.87,22.0%,15,0.0%,€11.21
2273,RESTORANMIKS MONTANA,SMB (AM Segment),22.0%,15,0.0%,€21.80,22.0%,22,0.0%,€26.50
2274,GREEK HOUSE,Mid-market (AM Segment),22.0%,573,0.0%,€15.36,22.7%,653,100.0%,€13.83
2275,TOKIO ROLLS,SMB (AM Segment),21.9%,8,0.0%,€25.05,15.1%,14,0.0%,€23.84
2276,BLACK KEBAB,Mid-market (AM Segment),21.9%,25,100.0%,€13.62,22.1%,22,100.0%,€14.80
2277,PIZZA LOVER,SMB (AM Segment),21.8%,61,100.0%,€16.13,22.4%,35,100.0%,€16.63
2278,COPPER HEAD,SMB (AM Segment),21.8%,21,0.0%,€21.40,22.1%,27,0.0%,€21.47
2279,CHPCH CHESNYI PLOV I CHEBUREK,SMB (AM Segment),21.8%,4,0.0%,€7.65,27.0%,1,0.0%,€11.67
2280,BURGER QUEEN BY FOODZ,Enterprise (AM Segment),21.8%,42,100.0%,€16.91,22.5%,44,100.0%,€17.58
2281,MAMA VDOMA,Enterprise (AM Segment),21.8%,114,0.0%,€15.94,22.0%,82,0.0%,€17.48
2282,CHACKMAG DONER,Enterprise (AM Segment),21.7%,168,100.0%,€15.46,20.9%,153,100.0%,€16.86
2283,MA FOOD,Enterprise (AM Segment),21.7%,59,0.0%,€17.69,21.9%,52,0.0%,€16.95
2284,STREETS,Enterprise (AM Segment),21.7%,68,100.0%,€15.80,20.3%,51,100.0%,€18.10
2285,DONER MARKET,Mid-market (AM Segment),21.7%,484,55.2%,€13.02,22.2%,482,46.4%,€13.02
2286,PARMA,SMB (AM Segment),21.7%,18,0.0%,€15.39,23.0%,23,0.0%,€20.58
2287,PIZZA TODAY,Mid-market (AM Segment),21.7%,15,0.0%,€17.00,21.2%,12,0.0%,€16.81
2288,HAVE A NICE CHICKEN,Enterprise (AM Segment),21.6%,22,100.0%,€14.43,22.0%,23,100.0%,€13.70
2289,PERSHE KOKHANNIA STUDENTA,Enterprise (AM Segment),21.6%,80,100.0%,€15.96,20.7%,71,100.0%,€13.91
2290,TEPLYI,SMB (AM Segment),21.6%,4,100.0%,€38.70,24.7%,5,100.0%,€33.65
2291,PAVLIVSKIY,SMB (AM Segment),21.6%,2,0.0%,€20.99,,,,
2292,SUSHIBOS,Mid-market (AM Segment),21.6%,223,0.0%,€18.17,21.9%,359,0.0%,€20.17
2293,PAPITO,SMB (AM Segment),21.6%,7,0.0%,€17.32,21.2%,11,0.0%,€21.09
2294,PEPARONI,Mid-market (AM Segment),21.6%,73,100.0%,€12.66,21.6%,101,100.0%,€13.34
2295,OUSHENBAR,SMB (AM Segment),21.5%,13,100.0%,€17.29,21.3%,17,100.0%,€16.29
2296,SIMEYNA PITSA PEKARNYA,SMB (AM Segment),21.5%,4,0.0%,€8.76,23.5%,3,0.0%,€12.37
2297,VAY ME,Enterprise (AM Segment),21.5%,2,0.0%,€32.86,20.6%,10,0.0%,€23.30
2298,DARK KITCHEN SILPO,Mid-market (AM Segment),21.3%,726,0.0%,€21.54,22.6%,488,0.0%,€20.86
2299,HOP HEY,Enterprise (AM Segment),21.3%,433,0.0%,€10.72,22.0%,400,0.0%,€10.34
2300,KAZBEK,Enterprise (AM Segment),21.3%,34,0.0%,€20.85,21.7%,32,0.0%,€18.69
2301,SHAURMASTER SSS,SMB (AM Segment),21.3%,5,0.0%,€17.21,21.3%,3,0.0%,€7.77
2302,SVIZIHST,SMB (AM Segment),21.3%,20,0.0%,€29.12,20.9%,15,0.0%,€27.54
2303,SHAURMASTER BROVARY,SMB (AM Segment),21.3%,2,0.0%,€9.60,21.3%,2,0.0%,€15.25
2304,VIBE,SMB (AM Segment),21.2%,1,0.0%,€33.94,25.0%,6,0.0%,€17.98
2305,KATZ`S,SMB (AM Segment),21.2%,3,0.0%,€16.56,,,,
2306,POPOIZH,SMB (AM Segment),21.2%,13,0.0%,€15.67,21.0%,6,0.0%,€18.21
2307,SUSHI LOVER,SMB (AM Segment),21.2%,43,100.0%,€27.30,21.6%,50,100.0%,€28.99
2308,RYBNYJ RYAD,SMB (AM Segment),21.2%,5,0.0%,€31.93,21.1%,6,0.0%,€19.60
2309,MISIS BOUL,Mid-market (AM Segment),21.2%,16,0.0%,€17.96,21.6%,7,0.0%,€21.63
2310,CHINA MA,Enterprise (AM Segment),21.1%,46,0.0%,€29.37,20.3%,31,0.0%,€27.96
2311,MISIS BOUL,SMB (AM Segment),21.1%,37,0.0%,€20.81,21.2%,25,0.0%,€20.72
2312,SUSHI GO,Mid-market (AM Segment),21.1%,34,0.0%,€16.05,19.6%,41,0.0%,€21.55
2313,CUCINA DELLA MAMMA,Enterprise (AM Segment),21.1%,82,100.0%,€20.20,20.8%,173,100.0%,€20.47
2314,SUSHI CLUB,SMB (AM Segment),21.0%,3,0.0%,€20.15,21.0%,2,0.0%,€19.95
2315,HELLO BURGER,Enterprise (AM Segment),21.0%,68,100.0%,€17.95,21.0%,48,100.0%,€17.57
2316,MAMA MANANA,Enterprise (AM Segment),21.0%,287,0.0%,€24.36,20.7%,307,0.0%,€28.18
2317,MAFOOD,Enterprise (AM Segment),21.0%,1,0.0%,€2.18,18.9%,1,0.0%,€10.08
2318,MOONFISH,Mid-market (AM Segment),21.0%,21,0.0%,€23.96,21.0%,12,0.0%,€25.09
2319,SUGAR AND SALT,SMB (AM Segment),21.0%,6,0.0%,€24.36,20.6%,17,0.0%,€21.95
2320,DESYATKA IF,Mid-market (AM Segment),21.0%,172,0.0%,€13.01,21.0%,151,0.0%,€12.72
2321,SMAKOTA RVN,SMB (AM Segment),21.0%,8,0.0%,€10.39,21.0%,7,0.0%,€9.55
2322,PASTA ITALIANO,SMB (AM Segment),21.0%,20,0.0%,€17.77,22.2%,13,0.0%,€15.41
2323,SEVEN,SMB (AM Segment),21.0%,13,32.1%,€17.56,24.3%,13,5.8%,€14.51
2324,THE MOON,SMB (AM Segment),21.0%,3,0.0%,€19.32,21.5%,5,0.0%,€15.34
2325,VICHNOZELENI,Enterprise (AM Segment),21.0%,122,100.0%,€19.44,20.4%,128,100.0%,€19.22
2326,SUSHI LOUNGE,Mid-market (AM Segment),20.9%,5,0.0%,€41.98,17.7%,8,0.0%,€28.17
2327,CHICK N RICE,Enterprise (AM Segment),20.9%,117,100.0%,€19.30,21.4%,105,100.0%,€17.11
2328,CHINA MARKET,Enterprise (AM Segment),20.9%,14,0.0%,€24.10,20.5%,7,0.0%,€21.01
2329,POKE OKE,Enterprise (AM Segment),20.9%,36,100.0%,€19.89,20.8%,56,100.0%,€20.29
2330,GREENBAR CAFE,Enterprise (AM Segment),20.8%,305,100.0%,€18.13,20.6%,312,100.0%,€18.73
2331,SHO SHO,Mid-market (AM Segment),20.8%,168,74.3%,€11.39,20.5%,230,71.6%,€12.29
2332,DONER KH,SMB (AM Segment),20.8%,6,0.0%,€15.67,18.4%,4,0.0%,€10.58
2333,PAPITO,Mid-market (AM Segment),20.8%,2,0.0%,€22.95,20.8%,3,0.0%,€21.66
2334,SUSHI VIBE,Mid-market (AM Segment),20.8%,9,0.0%,€21.75,21.4%,9,0.0%,€28.60
2335,115 KITCHEN&BAR,SMB (AM Segment),20.8%,8,0.0%,€18.94,21.0%,14,0.0%,€19.92
2336,URBAN BURGER,Mid-market (AM Segment),20.8%,3,0.0%,€14.05,20.8%,6,0.0%,€18.16
2337,MAMYNA KOTLETKA,SMB (AM Segment),20.8%,13,0.0%,€15.30,20.8%,3,0.0%,€16.75
2338,115 KITCHEN AND BAR,SMB (AM Segment),20.8%,3,0.0%,€17.69,20.8%,1,0.0%,€27.90
2339,SUSHI TODAY,Mid-market (AM Segment),20.8%,9,0.0%,€28.48,20.7%,22,0.0%,€26.86
2340,SHANHAYSKIY KIT,Enterprise (AM Segment),20.6%,251,100.0%,€21.89,19.9%,432,100.0%,€21.87
2341,I LOVE KEBAB,Mid-market (AM Segment),20.6%,240,64.7%,€10.92,20.9%,241,58.8%,€11.74
2342,SUSHI SAN,SMB (AM Segment),20.6%,3,0.0%,€27.42,17.0%,6,0.0%,€27.60
2343,CHEESE PIZZA DELIVERY,SMB (AM Segment),20.5%,25,0.0%,€19.62,20.2%,30,0.0%,€23.11
2344,CHINATOWN KYIV,SMB (AM Segment),20.3%,7,0.0%,€22.64,21.0%,4,0.0%,€26.69
2345,MAMO YA V SHAPTSI,Enterprise (AM Segment),20.3%,210,100.0%,€19.12,19.9%,220,100.0%,€20.89
2346,ENKA KAFE,Mid-market (AM Segment),20.3%,202,100.0%,€14.43,20.4%,173,100.0%,€15.19
2347,CHACHAPURI,Enterprise (AM Segment),20.3%,31,0.0%,€20.53,20.7%,39,0.0%,€29.25
2348,ALL STARS BY ASAP,Enterprise (AM Segment),20.3%,286,100.0%,€20.83,20.1%,313,100.0%,€21.53
2349,SALMON SUSHI,Mid-market (AM Segment),20.3%,30,100.0%,€27.56,20.4%,34,100.0%,€30.14
2350,PANDA YIST BAMBUK,Enterprise (AM Segment),20.2%,86,100.0%,€22.63,20.4%,81,100.0%,€23.08
2351,YOSHI VIN,Mid-market (AM Segment),20.2%,396,0.0%,€12.43,20.2%,396,0.0%,€12.60
2352,PIDPILNYJ KINDRAT,SMB (AM Segment),20.1%,4,0.0%,€5.68,,,,
2353,SUPCHYK SALATYK,Enterprise (AM Segment),20.1%,639,100.0%,€17.31,20.5%,471,100.0%,€17.99
2354,PIZZA SUSHI UA,SMB (AM Segment),20.1%,1,0.0%,€27.16,19.9%,6,0.0%,€37.76
2355,KVITY VAV,SMB (AM Segment),20.0%,2,0.0%,€27.22,19.5%,20,0.0%,€35.01
2356,KRATOM - DISCOVER THE ENERGY IN YOU,SMB (AM Segment),20.0%,208,0.0%,€12.91,20.0%,157,0.0%,€12.96
2357,HENRI BISTRO,SMB (AM Segment),20.0%,6,0.0%,€17.55,21.9%,7,0.0%,€18.85
2358,KOLO DRUZIV,SMB (AM Segment),20.0%,4,0.0%,€14.34,20.0%,2,0.0%,€16.92
2359,LA RIVA RVN,Missing Segment,20.0%,12,0.0%,€10.71,20.0%,14,0.0%,€11.18
2360,FOOD SPOT,Mid-market (AM Segment),20.0%,57,0.0%,€25.41,20.0%,51,0.0%,€23.39
2361,BROYT UN TSU BROYT,SMB (AM Segment),20.0%,1,0.0%,€24.62,20.0%,4,0.0%,€16.27
